Timestamps,U_stimulus_1,U_stimulus_2,U_stimulus_3,Z_1,Z_2,Z_3,dq_1,dq_2,dq_3,dh_1,dh_2,dh_3,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6
15.22140221402214,0.0,0.0,0.0,0.0134863164806783,-0.0087473614642613,-0.0087473614642613,2.1608540424499694,-1.7246173416108872,-1.724617341610874,-1.032746797577432,0.6918152318966171,0.6918152318966116,0.0098169235607675,0.0020588672240211,-0.0085659566110559,-0.0027947495307905,-0.0085659566110559,-0.0027947495307905
15.313653136531364,0.0,0.0,0.0,0.0134186646653868,-0.008703482367853,-0.008703482367853,2.0404690230654445,-1.827713566054604,-1.827713566054591,-1.0820747468336909,0.6392895727052536,0.639289572705248,0.0086802555983295,0.0010150025514464,-0.00959612699557,-0.0037781004987485,-0.00959612699557,-0.0037781004987485
15.40590405904059,0.0,0.0,0.0,0.0133513522148332,-0.0086598233727235,-0.0086598233727235,2.042745734793882,-1.8080717505634143,-1.8080717505634012,-1.0657926293907565,0.6523000054385238,0.6523000054385184,0.0087864597929279,0.0011682024547776,-0.0093832855200152,-0.0035646402744773,-0.0093832855200152,-0.0035646402744772
15.498154981549815,0.0,0.0,0.0,0.0132843774915634,-0.0086163833227333,-0.0086163833227333,2.142675102671749,-1.6907122485778503,-1.6907122485778447,-0.9973559790600464,0.7173931125281058,0.7173931125281002,0.0098816978966062,0.0022737188316101,-0.0081813397402301,-0.0023991561744381,-0.0081813397402301,-0.0023991561744381
15.59040590405904,0.0,0.0,0.0,0.0132177388323922,-0.0085731610502602,-0.0085731610502602,2.1514419101906377,-1.6644609265352366,-1.6644609265352313,-0.9784232583985704,0.7329124012198142,0.7329124012198087,0.0100491330341547,0.002483118837854,-0.0079071921340818,-0.002130118319205,-0.0079071921340818,-0.002130118319205
15.682656826568266,0.0,0.0,0.0,0.0131514345760577,-0.0085301554249011,-0.0085301554249011,2.1041789634710675,-1.694195019521128,-1.6941950195211226,-0.9900652033673558,0.7177889672323321,0.7177889672323267,0.0096455062090438,0.0021404590541206,-0.0082041636919921,-0.0024135054960365,-0.0082041636919921,-0.0024135054960365
15.77490774907749,0.0,0.0,0.0,0.013085463065417,-0.0084873653959644,-0.0084873653959644,1.980189589218751,-1.8006206534527198,-1.8006206534527145,-1.0434142942622044,0.6608920320575693,0.6608920320575637,0.0084607652177227,0.0010432190895434,-0.0092823651018289,-0.0034518715863672,-0.0092823651018288,-0.0034518715863672
15.867158671586717,0.0,0.0,0.0,0.013019822640391,-0.0084447898559364,-0.0084447898559364,2.079918731211517,-1.683301768966769,-1.6833017689667635,-0.9766803641720148,0.7240133426270486,0.7240133426270432,0.0095451687877153,0.0021329078399531,-0.0080915927122776,-0.0023037393410713,-0.0080915927122776,-0.0023037393410714
15.95940959409594,0.0,0.0,0.0,0.0129545116407401,-0.0084024276941987,-0.0084024276941987,2.097348366127264,-1.6482647261271397,-1.648264726127134,-0.9546300337313168,0.7423877445587976,0.7423877445587922,0.0097920137516107,0.0024136675390342,-0.0077386014621623,-0.0019649963646559,-0.0077386014621623,-0.0019649963646559
16.051660516605168,0.0,0.0,0.0,0.0128895188799144,-0.0083602722282404,-0.0083602722282404,2.0734934683104687,-1.6545023602849551,-1.6545023602849491,-0.9551658485158054,0.7381140526184125,0.7381140526184069,0.0096177631444844,0.0022871496806025,-0.0078069768877791,-0.0020340192300396,-0.0078069768877791,-0.0020340192300396
16.14391143911439,0.0,0.0,0.0,0.0128248680034034,-0.008318337625527,-0.008318337625527,2.0568012313793944,-1.653574781120827,-1.6535747811208212,-0.9521882763481432,0.7372930611103301,0.7372930611103246,0.0095143343676311,0.0022277693476208,-0.0078048470649622,-0.0020364191880965,-0.0078048470649621,-0.0020364191880965
16.236162361623617,0.0,0.0,0.0,0.0127605376510905,-0.0082766112129021,-0.0082766112129021,2.011670459789323,-1.6810900016908317,-1.6810900016908263,-0.9648545343642896,0.7207687243338263,0.7207687243338208,0.0091203650761546,0.0018870952590462,-0.0080936168279676,-0.0023206521606837,-0.0080936168279676,-0.0023206521606837
16.328413284132843,0.0,0.0,0.0,0.0126965278229757,-0.0082350929903657,-0.0082350929903657,2.0441129926416384,-1.6310425348707034,-1.6310425348706978,-0.9360686275615024,0.7456381253236815,0.7456381253236759,0.0095121839142124,0.0023031104826681,-0.0075969971394371,-0.0018487580678895,-0.0075969971394371,-0.0018487580678895
16.420664206642066,0.0,0.0,0.0,0.0126328380098874,-0.008193782743304,-0.008193782743304,1.9685918694213491,-1.688975248433529,-1.6889752484335234,-0.965722370975473,0.7120104608811487,0.7120104608811432,0.0088062435842162,0.0016594892765198,-0.0081985721308842,-0.0024370840302809,-0.0081985721308842,-0.0024370840302809
16.512915129151292,0.0,0.0,0.0,0.0125694670637079,-0.00815267998779,-0.00815267998779,1.8616133708160896,-1.7783873442605276,-1.778387344260522,-1.0126074001366576,0.6610950380190483,0.6610950380190428,0.0077793248361199,0.0007053504327963,-0.0091215952191469,-0.003336531067298,-0.0091215952191469,-0.003336531067298
16.605166051660518,0.0,0.0,0.0,0.012506413948107,-0.0081117837856298,-0.0081117837856298,1.954331142544636,-1.6681302543478664,-1.668130254347861,-0.952243750443911,0.717372701274061,0.7173727012740556,0.0087782266361745,0.0017038343996702,-0.0080192990431654,-0.002283977018631,-0.0080192990431654,-0.002283977018631
16.69741697416974,0.0,0.0,0.0,0.0124436770416141,-0.0080710926345131,-0.0080710926345131,1.8757175777825608,-1.7292362779595418,-1.7292362779595365,-0.9844029878363112,0.6810727084938777,0.6810727084938722,0.0080362535333732,0.0010226311773263,-0.0086584082024786,-0.0029117486920405,-0.0086584082024786,-0.0029117486920405
16.789667896678967,0.0,0.0,0.0,0.0123812551852516,-0.0080306057109817,-0.0080306057109817,1.936661093896467,-1.650821324155596,-1.6508213241555905,-0.9416712407729833,0.7196097050787058,0.7196097050787003,0.0087096906304181,0.0017054954912813,-0.0078826643902407,-0.0021761067343434,-0.0078826643902407,-0.0021761067343434
16.881918819188193,0.0,0.0,0.0,0.0123191461625621,-0.007990321450165,-0.007990321450165,1.8772949326539776,-1.6927561304840597,-1.6927561304840597,-0.9639644870679726,0.6930684431221227,0.6930684431221227,0.0081603736767251,0.0012083974251948,-0.0083302564029661,-0.0026210950432018,-0.0083302564029661,-0.0026210950432018
